,year,state,state_po,candidatevotes,totalvotes,party_simplified
3080,2012,ALABAMA,AL,795696,2074338,DEMOCRAT
3079,2012,ALABAMA,AL,1255925,2074338,REPUBLICAN
3084,2012,ALASKA,AK,122640,300495,DEMOCRAT
3083,2012,ALASKA,AK,164676,300495,REPUBLICAN
3089,2012,ARIZONA,AZ,1025232,2299254,DEMOCRAT
3088,2012,ARIZONA,AZ,1233654,2299254,REPUBLICAN
3094,2012,ARKANSAS,AR,394409,1069468,DEMOCRAT
3093,2012,ARKANSAS,AR,647744,1069468,REPUBLICAN
3098,2012,CALIFORNIA,CA,7854285,13038547,DEMOCRAT
3099,2012,CALIFORNIA,CA,4839958,13038547,REPUBLICAN
3105,2012,COLORADO,CO,1323101,2569516,DEMOCRAT
3106,2012,COLORADO,CO,1185243,2569516,REPUBLICAN
3121,2012,CONNECTICUT,CT,905083,1558204,DEMOCRAT
3122,2012,CONNECTICUT,CT,634892,1558204,REPUBLICAN
3126,2012,DELAWARE,DE,242584,413890,DEMOCRAT
3127,2012,DELAWARE,DE,165484,413890,REPUBLICAN
3135,2012,FLORIDA,FL,4237756,8474179,DEMOCRAT
3136,2012,FLORIDA,FL,4163447,8474179,REPUBLICAN
3149,2012,GEORGIA,GA,1773827,3897839,DEMOCRAT
3148,2012,GEORGIA,GA,2078688,3897839,REPUBLICAN
3151,2012,HAWAII,HI,306658,437159,DEMOCRAT
3152,2012,HAWAII,HI,121015,437159,REPUBLICAN
3158,2012,IDAHO,ID,212787,652274,DEMOCRAT
3157,2012,IDAHO,ID,420911,652274,REPUBLICAN
3162,2012,ILLINOIS,IL,3019512,5242014,DEMOCRAT
3163,2012,ILLINOIS,IL,2135216,5242014,REPUBLICAN
3168,2012,INDIANA,IN,1152887,2624534,DEMOCRAT
3167,2012,INDIANA,IN,1420543,2624534,REPUBLICAN
3171,2012,IOWA,IA,822544,1582180,DEMOCRAT
3172,2012,IOWA,IA,730617,1582180,REPUBLICAN
3181,2012,KANSAS,KS,440726,1159971,DEMOCRAT
3180,2012,KANSAS,KS,692634,1159971,REPUBLICAN
3186,2012,KENTUCKY,KY,679370,1797212,DEMOCRAT
3185,2012,KENTUCKY,KY,1087190,1797212,REPUBLICAN
